_id,objectid,unicode,name,facility_type,type_code,center,center_code,feature_name,website,capacity,access_to_fire_extinguisher,access_to_kitchenette,access_to_parking_lot,access_to_playground,access_to_restrooms,access_to_spray_park,access_to_vending_machines,ada_accessible_facility,ada_accessible_playground_near,ada_accessible_port_a_john_near,ada_accessible_restroom,bocci_court,furniture_chairs,furniture_tables,indoor_air_conditioning,indoor_audio_system,indoor_heating,indoor_television,outdoor_basketball_courts_nea,outdoor_fishing,outdoor_grill,outdoor_horseshoe_pits_near,outdoor_lake_view,outdoor_lighting,outdoor_swimming_pool_near,outdoor_volleyball,outdoor_water_spigot,outlet_data,outlet_power,outlet_telephone,pet_friendly,port_a_john_near,smoking_not_permitted,smoking_permitted,x,y
25972,1664,,Four Seasons Activity Center,Building,10,Boyce Park,BP,Four Seasons Activity Center,https://www.alleghenycounty.us/parks/boyce/four-seasons-activity-center.aspx,250,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,-79.444864783405,40.274143990912
25973,1665,,Picnic Hut,Building,10,Boyce Park,BP,Picnic Hut,https://www.alleghenycounty.us/parks/boyce/picnic-hut.aspx,60,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,-79.445742921924,40.273024359826
25974,1666,,Basketball Courts,Court - Basketball,31,Boyce Park,BP,Basketball Courts,https://www.alleghenycounty.us/parks/activities/basketball.aspx,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,-79.440789497984,40.283353259971
25975,1667,,Tennis Courts,Court - Tennis,32,Boyce Park,BP,Tennis Courts,https://www.alleghenycounty.us/parks/activities/tennis.aspx,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,-79.441516139299,40.282930702666
25976,1668,,Off Leash Dog Park 2,Dog Park,61,Boyce Park,BP,Off Leash Dog Park 2,<Null>,50,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,-79.440644844835,40.282623619005
25977,1669,,Off Leash Dog Park 1,Dog Park,61,Boyce Park,BP,Off Leash Dog Park 1,<Null>,,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,-79.440724547083,40.283083947622
25978,1670,,New Texas Baseball Field,Field - Baseball,61,Boyce Park,BP,New Texas Baseball Field,https://www.alleghenycounty.us/parks/activities/ball-games.aspx,50,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,-79.441160212993,40.283053640665
25979,1671,,Commissioners Field,Field - Multipurpose,61,Boyce Park,BP,Commissioners Field,https://www.alleghenycounty.us/parks/activities/ball-games.aspx,50,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,-79.444647461295,40.272617837049
25980,1672,,Soccer Pavilion,Shelter,64,Boyce Park,BP,Soccer Pavilion,https://www.alleghenycounty.us/parks/boyce/soccer.aspx,50,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,-79.445225148889,40.282614731212
25981,1673,,Soccer Field 3,Field - Soccer,64,Boyce Park,BP,Soccer Field 3,https://www.alleghenycounty.us/parks/boyce/soccer.aspx,50,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,-79.445050905206,40.283136700181
