_id,objectid,trail_id,trail_name,park_name_short,park_name,park_name_full,blaze_color_full,blaze_color_short,base_color,cap_color,dot_color,dash_color,image_link,mileage,track,track_num,difficulty,configuration,surface,service_road,globalid,trail_status,shape_length
35575,20194,WO2297, ,WO,White Oak,White Oak Park,,,,,,,,0.3824296,,,,<Null>,,,{B4CF0CF9-A0FE-45AE-BF27-F5257FD84AE9},Closed,0.00640210133192604
35576,20195,WO2298, ,WO,White Oak,White Oak Park,,,,,,,,0.03888159,,,,<Null>,,,{14F1D4EE-90CE-4B49-83FF-7837C0057B5B},Closed,0.00059442455275386
35577,20196,WO2299,Decommissioned Streamside Trail,WO,White Oak,White Oak Park,,,,,,,,0.4542584,,,,<Null>,,,{8F237A0D-4DFB-48EF-9EED-DFDD90D3C080},Closed,0.00813607947014378
35578,20197,WO2300,Decommissioned Trail,WO,White Oak,White Oak Park,,,,,,,,0.21977201,,,,<Null>,,,{CD8539F0-F0D4-4F72-B370-684AB541C3FA},Closed,0.00377890379029838
35579,20198,WO2301,Decommissioned Trail,WO,White Oak,White Oak Park,,,,,,,,0.2000449,,,,<Null>,,,{05907FCC-415B-4E42-88EC-B081BB660D60},Closed,0.00330391684031741
35580,20199,WO2302,Decommissioned Trail,WO,White Oak,White Oak Park,,,,,,,,0.02330255,,,,<Null>,,,{A30A8C12-8D76-47B8-B743-5A349C89F901},Closed,0.000384214269228711
35581,20200,WO2303, ,WO,White Oak,White Oak Park,,,,,,,,0.01558536,,,,<Null>,,,{17677167-CA0E-43B1-9477-E01E1B41CD8C},Closed,0.000244220094015209
35582,20201,WO2304,Decommissioned Trail,WO,White Oak,White Oak Park,,,,,,,,0.13960158,,,,<Null>,,,{79A3AD97-5B64-4F20-9550-B3996F88120B},Closed,0.00242495645100984
35583,20202,WO12677, ,WO,White Oak,White Oak Park,,,,,,,,0.0097562,,,,<Null>,,,{310FB41D-8F9E-4E4D-BA0D-4E1F52167AE8},Closed,0.000182578850047953
35584,20203,WO12678, ,WO,White Oak,White Oak Park,,,,,,,,0.56070872,,,,<Null>,Dirt,No,{65E5574A-CA4B-4C07-9A76-CDEBF447AF7A},Active,0.00938149697675746
35585,20204,WO12679, ,WO,White Oak,White Oak Park,,,,,,,,0.18665042,,,,<Null>,,,{B4B50BD1-0F68-408B-9ABC-FCD5EB15D874},Active,0.00340962923741049
35586,20205,WO2323,Blue Trail,WO,White Oak,White Oak Park,Blue,BL,Blue,,,,https://apps.alleghenycounty.us/GIS/BLUEbase.png,1.28801904,,,Easy-Moderate,Complete Loop,Dirt,No,{7996CFD7-0F34-4CD6-8674-13A521766B0A},Active,0.0215065847216744
35587,20206,WO2325,Decommissioned Trail,WO,White Oak,White Oak Park,,,,,,,,0.26081024,,,,<Null>,,,{0D6BB997-6C17-4563-A1AC-6503171D908D},Closed,0.00438847806718617
35588,20207,WO2595, ,WO,White Oak,White Oak Park,,,,,,,,0.40054563,,,,<Null>,,,{088C1F7A-3227-4E43-A1C6-526DADB8B0FB},Closed,0.0065893407565756
35589,20208,WO2596, ,WO,White Oak,White Oak Park,,,,,,,,0.02645971,,,,<Null>,,,{ACF5E096-FEDB-4903-AA6A-CB7932A3B517},Active,0.000487814833135111
35590,20209,WO2597, ,WO,White Oak,White Oak Park,,,,,,,,0.16192908,,,,<Null>,,,{B442FD10-40ED-42BA-A4C8-9B575409AA28},Active,0.00256633705141109
35591,20210,WO12803, ,WO,White Oak,White Oak Park,,,,,,,,0.11085361,,,Easy,<Null>,Dirt,No,{19FADBA5-903F-4247-AB53-14D24D4AD089},Active,0.00195124204069094
35592,20211,WO12804,Red,WO,White Oak,White Oak Park,Red,RD,Red,,,,https://apps.alleghenycounty.us/GIS/REDbase.png,1.04016371,,,Moderate-Difficult,Complete Loop,Dirt,No,{C5650EA5-B44D-4428-9BD3-E2CB01D2CE1F},Active,0.0180061039387268
35593,20212,WO23966, ,WO,White Oak,White Oak Park,<Null>,<Null>,, , , ,<Null>,0.0447083,,,Moderate,<Null>,,,{8A551B72-DFC2-44EC-B760-0F7277543B37},Active,0.000795250464552812
35594,20213,WO23967, ,WO,White Oak,White Oak Park,<Null>,<Null>,, , , ,,0.09882239,,,Moderate,<Null>,,,{C6508623-23DB-46CD-BD24-A692FB3AC75E},Active,0.00158901567606054
35595,20214,WO23968, ,WO,White Oak,White Oak Park,<Null>,<Null>,, , , ,<Null>,0.06022604,,,Moderate,<Null>,,,{7880E735-9059-48F6-93DD-ECCF9F7C9253},Active,0.000941515454295768
35596,20215,WO35241,Decommissioned Trail,WO,White Oak,White Oak Park,,,,,,,,0.0411944,,,Easy,<Null>,Wood,No,{315941F3-EF24-45F0-B66D-423B970C56A2},Closed,0.00066199655983904
35597,20216,WO35242,Decommissioned Trail,WO,White Oak,White Oak Park,,,,,,,,0.04209211,,,Easy,<Null>,Dirt,No,{C1009978-B966-4619-A8DA-C6D725D9A094},Closed,0.000646626459006092
35598,20217,WO35254,,WO,White Oak,White Oak Park,,,,,,,,0.01927339,,,Easy,<Null>,Dirt,,{0B1A4B21-F9C2-4658-A985-D3063BDC1481},Active,0.000291937645386319
35599,20218,WO35640,,WO,White Oak,White Oak Park,,,,,,,,0.06854799,,,Easy-Moderate,<Null>,Dirt,No,{FC258DDB-F9BB-41DB-8C18-26C891135EB7},Closed,0.00115245616324839
